STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,PRT,Portugal,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,49744.9913012295,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CZE,Czechia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,55803.2170679245,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,GRC,Greece,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,40521.0584412039,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,MEX,Mexico,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,25430.8874325307,,E,Estimated value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,POL,Poland,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,48135.9258846623,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,IRL,Ireland,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,128156.550222381,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,ROU,Romania,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,47907.1903036283,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,HUN,Hungary,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,45941.0534086957,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,ITA,Italy,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,58523.4991312602,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,NOR,Norway,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,103994.094009383,,A,Normal value,0,Units,,,2,Two
